"id","title","year","journal_name","conf_name"
"104057452","Colour and stellar population gradients in galaxies: correlation with mass","2010","Monthly Notices of the Royal Astronomical Society",
"361683650","The X-ray properties of high-z Fanaroff–Riley type I candidates in the COSMOS field","2012","Monthly Notices of the Royal Astronomical Society",
"318641605","Ionized outflows in SDSS type 2 quasars at z ∼ 0.3–0.6★","2011","Monthly Notices of the Royal Astronomical Society",
"326609143","AGN EVOLUTION FROM A GALAXY EVOLUTION VIEWPOINT","2015","The Astrophysical Journal",
"477270255","The evolutionary connection between QSOs and SMGs: molecular gas in far-infrared luminous QSOs at z ∼ 2.5","2012","Monthly Notices of the Royal Astronomical Society",
"123463180","Retrograde accretion and merging supermassive black holes","2011","Monthly Notices of the Royal Astronomical Society",
"117655075","Searching for an intermediate-mass black hole in the blue compact dwarf galaxy MRK 996","2011","Monthly Notices of the Royal Astronomical Society",
"143680364","Coevolution between Supermassive Black Holes and Bulges Is Not via Internal Feedback Regulation but by Rationed Gas Supply due to Angular Momentum Distribution","2015","The Astrophysical Journal",
"361165137","Tidal disruption rate of stars by supermassive black holes obtained by direct N-body simulations","2011","Monthly Notices of the Royal Astronomical Society",
"26737719","Towards an understanding of the evolution of the scaling relations for supermassive black holes","2011","Monthly Notices of the Royal Astronomical Society",
"135086233","Interpreting the possible break in the black hole–bulge mass relation","2015","Monthly Notices of the Royal Astronomical Society",
"172848222","RELATIONS BETWEEN CENTRAL BLACK HOLE MASS AND TOTAL GALAXY STELLAR MASS IN THE LOCAL UNIVERSE","2015","The Astrophysical Journal",
"351330140","Orientation and quasar black hole mass estimation","2015","Monthly Notices of the Royal Astronomical Society",
"440343065","Far-UV to mid-IR properties of nearby radio galaxies","2015","Astronomy and Astrophysics",
"318354386","High-Resolution Imaging of Molecular Line Emission from High-Redshift QSOs","2002","The Astronomical Journal",
"33509452","The Birth of a Galaxy. II. The Role of Radiation Pressure","2012","Monthly Notices of the Royal Astronomical Society",
"481023461","The triggering of local AGN and their role in regulating star formation","2015","Monthly Notices of the Royal Astronomical Society",
"475662363","Feeding supermassive black holes through supersonic turbulence and ballistic accretion","2011","Monthly Notices of the Royal Astronomical Society",
"325543846","Dynamical black hole masses of BL Lac objects from the Sloan Digital Sky Survey","2011","Monthly Notices of the Royal Astronomical Society",
"70075737","An excess of star-forming galaxies in the fields of high-redshift QSOs","2010","Monthly Notices of the Royal Astronomical Society",
"196704246","The nuclear gas disk of NGC 1566 dissected by SINFONI and ALMA","2015","Astronomy and Astrophysics",
"48893207","The FIRST-2MASS Red Quasar Survey","2007","The Astrophysical Journal",
"106924298","Joint formation of QSOs and spheroids: QSOs as clocks of star formation in spheroids","2001","Monthly Notices of the Royal Astronomical Society",
"11297377","Classification and analysis of emission-line galaxies using mean field independent component analysis","2013","Monthly Notices of the Royal Astronomical Society",
"438850436","M33: A Galaxy with No Supermassive Black Hole","2001","The Astronomical Journal",
"314482666","Chaos and secular evolution of triaxial N-body galactic models due to an imposed central mass","2004","Astronomy and Astrophysics",
"207804132","Estimating black hole masses in young radio sources using CFHT spectroscopy","2009","Astronomische Nachrichten",
"377883584","Stellar Populations of Ultraviolet-selected Active Galactic Nuclei Host Galaxies at z ~ 2?3","2012","The Astrophysical Journal",
